2.07047E+14,16313,185
2.28042E+14,53674,159
2.29001E+14,25885,165
2.70013E+14,17311,197
3.88052E+14,105040,179
4.28042E+14,25908,183
4.54033E+14,16535,175
4.85059E+14,46311,186
4.9403E+14,11466,190
5.03031E+14,43116,192
5.45073E+14,45730,202
5.72009E+14,16273,185
6.54005E+14,10753,154
6.55072E+14,20258,185
6.57028E+14,44204,229
6.64065E+14,70438,210
7.11031E+14,35242,189
1.32007E+15,28205,188
2.90709E+13,25907,183
7.39069E+14,32193,201
3.00037E+13,83441,210
7.10716E+13,19886,216
1.02067E+14,30626,184
1.08011E+14,58040,175
1.10033E+14,51059,210
1.4001E+14,37238,200
1.49077E+14,57862,184
1.57016E+14,60989,169
1.64042E+14,113090,195
2.01031E+14,70585,163
3.01043E+14,58060,200
3.15043E+14,55768,220
3.34037E+14,55327,193
3.65046E+14,68919,217
3.66026E+14,500,175
4.04043E+14,56032,180
4.14024E+14,90178,197
4.73053E+14,59104,184
4.83063E+14,25290,178
4.93033E+14,48417,172
4.97015E+14,75000,199
5.08072E+14,40236,223
5.09074E+14,37210,197
5.2807E+14,46138,185
5.50003E+14,43238,197
5.59051E+14,80795,181
5.75075E+14,54146,196
6.24005E+14,42821,194
6.25023E+14,68438,195
6.30001E+14,101821,170
6.47026E+14,51668,173
6.50013E+14,34373,157
6.67081E+14,20043,183
6.70029E+14,32119,184
6.71026E+14,92746,196
6.7607E+14,81287,198
6.83065E+14,40201,197
6.88001E+14,15969,180
6.92003E+14,69596,174
6.95069E+14,99123,196
7.03057E+14,70445,183
7.2502E+14,11318,181
7.31052E+14,85151,198
7.54052E+14,48962,208
7.56008E+14,63771,204
7.58007E+14,34168,187
7.69049E+14,56417,183
7.72046E+14,85555,184
7.74042E+14,75769,201
7.96047E+14,31107,169
8.17054E+14,101213,175
1.06802E+15,33941,192
2.67807E+15,30029,163
2.91505E+15,22955,166
6.6307E+14,57528,204
7.1902E+14,50010,233
6.60742E+13,86587,207
7.26039E+14,69348,190
3.7043E+13,54806,190
1.29069E+14,15152,188
7.04029E+14,32119,204
7.68039E+14,41382,218
9.06632E+12,16612,184
3.00671E+13,15103,217
3.10498E+13,55705,183
4.30419E+13,16806,215
7.10719E+13,19565,187
7.70721E+13,46692,182
8.60051E+13,40853,209
1.41003E+14,54814,177
1.56047E+14,18098,169
1.57011E+14,55440,187
1.93075E+14,31673,210
2.02037E+14,51427,193
2.04041E+14,12857,167
2.34052E+14,85630,223
2.53073E+14,33391,170
2.55033E+14,46907,194
2.57065E+14,80974,191
2.77073E+14,30042,179
2.94073E+14,18347,180
2.95046E+14,85732,177
2.99051E+14,25471,175
3.05014E+14,30807,176
3.11031E+14,70585,190
3.17074E+14,66233,157
3.31007E+14,35122,185
3.55005E+14,9110,175
3.65074E+14,36940,185
3.6607E+14,77579,205
4.02043E+14,55582,164
4.0402E+14,48123,201
4.15052E+14,105454,208
4.16023E+14,36124,180
4.18051E+14,80795,217
4.33072E+14,36389,180
4.40075E+14,26356,191
4.46039E+14,40099,188
4.65073E+14,45102,180
4.69055E+14,50120,179
4.83077E+14,19327,176
4.90013E+14,43020,206
4.9405E+14,18046,244
5.01003E+14,49043,193
5.29069E+14,102035,264
5.39001E+14,101821,183
5.53066E+14,27316,174
5.7405E+14,23743,215
5.87023E+14,19872,200
6.26047E+14,16891,205
6.3008E+14,78469,182
6.50043E+14,49554,199
6.51024E+14,90612,195
6.5903E+14,52217,217
6.69033E+14,48672,203
6.74011E+14,56931,186
6.88076E+14,62418,203
6.9207E+14,37117,173
6.99016E+14,37359,182
7.00047E+14,25734,199
7.09052E+14,19455,182
7.16052E+14,48820,204
7.46066E+14,81375,199
7.71056E+14,47301,204
7.72033E+14,66584,182
8.1107E+14,101339,191
1.092E+15,10046,195
1.32001E+15,70500,185
1.40049E+14,55934,220
1.07047E+14,28809,199
3.28066E+14,30211,189
5.03342E+12,64014,184
8.01932E+12,39042,206
2.80796E+13,81332,190
3.10257E+13,92746,197
4.70559E+13,54124,180
5.10698E+13,47393,175
6.60811E+13,29014,191
7.70234E+13,68795,193
9.60731E+13,19059,181
1.28009E+14,14312,189
1.2902E+14,20348,197
1.47004E+14,87451,232
1.56041E+14,16691,159
1.64069E+14,18702,209
1.96074E+14,66233,182
2.3107E+14,79069,205
2.35069E+14,102455,199
2.44065E+14,73681,184
2.55046E+14,58500,178
2.77016E+14,47840,177
2.88011E+14,54407,185
3.06077E+14,20772,197
3.11033E+14,38468,185
3.12003E+14,57864,214
3.31054E+14,100610,172
3.67053E+14,45379,192
3.80069E+14,37758,196
3.88007E+14,20515,197
3.92077E+14,60122,206
4.00042E+14,110187,199
4.1904E+14,27965,190
4.30037E+14,92538,165
4.63076E+14,72876,186
4.6503E+14,15390,174
4.7207E+14,39214,173
4.97073E+14,24689,190
4.98003E+14,23176,192
5.0303E+14,50569,202
5.09057E+14,15562,190
5.13042E+14,78411,217
5.19052E+14,105075,177
5.50053E+14,58086,189
6.26043E+14,56050,200
6.57043E+14,50442,193
6.67063E+14,16739,195
7.0307E+14,60454,198
7.09077E+14,14216,193
7.16001E+14,23681,191
7.19052E+14,51778,197
7.21052E+14,84332,196
7.26037E+14,23122,176
7.32047E+14,23940,199
7.36043E+14,51667,208
7.49067E+14,39061,192
7.54066E+14,18184,204
4.15055E+14,58115,194
6.98066E+14,35481,193
5.03062E+12,42258,169
8.00312E+12,76808,202
9.06942E+12,95183,223
3.00716E+13,16320,299
4.30796E+13,77224,173
4.70312E+13,70585,179
4.80277E+13,30300,209
5.10574E+13,23395,189
7.10418E+13,109933,196
8.60164E+13,36738,216
9.60433E+13,55267,219
1.07003E+14,51906,183
1.1007E+14,101437,196
1.28033E+14,50586,189
1.29051E+14,30075,204
1.53069E+14,38068,168
2.04052E+14,105017,202
2.31039E+14,33254,227
